Test ID,Test case name,Pre-conditions,Test data,Environment,Steps,Expected result,Status,Priority,Bug ID
1,Validation that the home page logo contains the right company name and logo,1- website URL,1- Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,2- the company's name ,"2- The company's name : ""PRODUCT STORE""",,2- Verify logo text,"Text is ""PRODUCT STORE""",,,
,,,,,,,,,
2,Validation that the title of the home page is the company name ,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Fail,High,B1
,,,,,2- Verify page title text,"Title is ""PRODUCT STORE""",,,
3,Validation that the home page logo is clickable and redirecting to the home page,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""PRODUCT STORE"" logo on the left upper of the page",Redirecting to the home page,,,
4,Validation that the home button is redirecting to the home page,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Home"" button in the top of the page ",Redirecting to the home page,,,
5,Validation that the Contact button opens the contact window,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Contact"" button in the top of the page ",The Contact window opened,,,
,,,,,3- Verify that the Contact window content is visible,The content of the window ( text boxes and buttons) is visible,,,
6,Validation that the About us button opens the About us window,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Fail,Medium,B2
,,,,,"2- Click on the ""About us"" button in the top of the page ",The About Us window opened,,,
,,,,,3- Verify that the About us window content is visible,"The content of the window ( text boxes, media and buttons) is visible",,,
7,Validation that the Cart button is redirecting to the Cart page,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Cart"" button in the top of the page ",Redirected to the Cart page,,,
8,"Validation that when navigating to the Cart page, the pahe titile will be changed and contain ""Cart""",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Fail,Medium,B3
,,,,,"2- Click on the ""Cart"" button in the top of the page ","The page title changed and contain ""Cart""",,,
9,Validation that the Login button opens the login window,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Log in"" button in the top of the page ",The login window opened,,,
,,,,,3- Verify that the Login window content is visible,The content of the window ( text boxes and buttons) is visible,,,
10,Validation that the Sign up button opens the signup window,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Sign up"" button in the top of the page ",The signup window opened,,,
,,,,,3- Verify that the Sign up window content is visible,The content of the window ( text boxes and buttons) is visible,,,
11,Validate that The choosing Phones category will show only phones,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Phones"" in the CATEGORIES list ",Only phones will be shown,,,
12,Validate that The choosing Laptops category will show omly Laptops,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Laptops"" in the CATEGORIES list ",Only Laptops will be shown,,,
13,Validate that The choosing Mointors category will show omly Mointors,website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Mointors"" in the CATEGORIES list ",Only Mointors will be shown,,,
14,"Validate that  choosing the ""Nexus 6"" product will show its details page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Nexus 6"" product ",The Nexus 6 product details page will be opened,,,
15,"Validate that the price of the ""Nokia lumia 1520"" product on the home page is the same as the price shown on its details page.",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,Medium,
,,,,,"2- Click on the ""Nokia lumia 1520"" product ",The Nokia lumia 1520 product details page will be opened,,,
,,,,,3- Verify that the product price is the same on the home page and the product details page,The Nokia lumia 1520 product price on the homepage matches the price shown on its details page,,,
16,"Validate that the all details of ""Samsung galaxy s7"" is accessible in its details page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Fail,Medium,B4
,,,,,"2- Click on the ""Samsung galaxy s7"" product ",The Samsung galaxy s7 product details page will be opened,,,
,,,,,3- Verify that the product details is accwssible,"See more details about The Samsung galaxy s7 product (Price, Product description, Photos)",,,
17,"Validate that the ""Previous"" Button won't be displayed or clickable in the first products page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Fail,High,B5
,,,,,"2- Click on the ""Previous"" button","The ""Previous"" button won't be displayed or clickable",,,
18,"Validate that the ""Next"" Button is clickable in the first products page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is clickable",,,
19,"Validate that the ""Previous"" Button will be clickable in the second (last) products page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is clickable",,,
,,,,,"2- Click on the ""Previous"" button","The ""Previous"" button is clickable",,,
20,"Validate that the ""Next"" Button is not displayed or clickable in second (last) products page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is clickable",,,
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is not displayed or clickable",,,
21,"Validate that the user can add ""Sony vaio i5"" as a product to the cart without login",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,,,,"2- Click on the ""Sony vaio i5"" product ",The Sony vaio i5 product details page will be opened,,,
,,,,,"3- Click on ""Add to cart"" button",The Sony vaio i5 product successfully added to the cart and a success message appears,,,
22,"Validate that when navigate to the ""MacBook air"" product details page the page title will contain the product name ""MacBook air""",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Fail,Medium,B6
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is clickable",,,
,,,,,"2- Click on the ""MacBook air"" product ","The MacBook air product details page will be opened and the Page title contains the product name ""MacBook air""",,,